Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp,,
6/5/2016 2:00,251,15.175,26.82501,35.67497,14.28333,12.90001,11.29999,12.82747,,
6/5/2016 3:00,252,15.11833,26.82501,35.67497,13.83667,12.90001,11.37834,12.81152,,
6/5/2016 4:00,253,15.10667,26.82834,35.62498,13.43667,12.90001,11.4,12.79137,,
6/5/2016 5:00,254,15.19334,26.89668,35.67497,13.03667,12.87166,11.4,12.78214,,
6/5/2016 6:00,255,15.05,26.82834,35.64665,12.665,12.79999,11.4,12.7729,,
6/5/2016 7:00,256,15,26.87168,35.62831,12.36499,12.79666,11.4,12.79221,,
6/5/2016 8:00,257,15,26.82835,35.64665,12.06833,12.70001,11.40334,12.95926,,
6/5/2016 9:00,258,15.025,26.82501,35.65331,12.00333,12.67166,11.5,13.48139,,
6/5/2016 10:00,259,15.02499,26.85001,35.69665,12.235,12.59999,11.5,13.38401,,
6/5/2016 11:00,260,14.97167,26.87168,35.625,12.61667,12.52167,11.5,13.35127,,
6/5/2016 12:00,261,14.90001,26.82502,35.62831,13.17001,12.49667,11.5,13.337,,
6/5/2016 13:00,262,14.76834,26.82502,35.67164,13.905,12.40001,11.5,13.33029,,
6/5/2016 14:00,263,14.48666,26.82502,35.62498,14.865,12.40001,11.5,13.32022,,
6/5/2016 15:00,264,14.19334,26.80334,35.59999,16.2,12.40001,11.5,13.28832,,
6/5/2016 16:00,265,13.99667,26.76832,35.625,17.63333,12.40001,11.5,13.26985,,
6/5/2016 17:00,266,13.89333,26.75335,35.64999,18.23167,12.42833,11.5,13.26145,,
6/5/2016 18:00,267,13.84999,26.77501,35.625,18.29666,12.50333,11.5,13.2497,,
6/5/2016 19:00,268,13.80333,26.75001,35.59999,18.11833,12.60333,11.5,13.13806,,
6/5/2016 20:00,269,13.82166,26.76834,35.60332,17.83666,12.70334,11.5,13.08769,,
6/5/2016 21:00,270,13.79999,26.65665,35.62165,17.43667,12.80333,11.5,13.02473,,
6/5/2016 22:00,271,13.79999,26.69665,35.60332,16.98,12.92833,11.5,12.97269,,
6/5/2016 23:00,272,13.74666,26.75332,35.62165,16.30166,13,11.5,12.92064,,
6/6/2016 0:00,273,13.69667,26.75001,35.65332,15.67999,13.07833,11.5,12.88203,,
6/6/2016 1:00,274,13.675,26.77499,35.64666,15.13667,13.09999,11.52833,12.85433,,
6/6/2016 2:00,275,13.72833,26.74668,35.67498,14.70833,13.17834,11.6,12.82914,,
6/6/2016 3:00,276,13.75,26.75332,35.62832,14.23666,13.19667,11.6,12.80564,,
6/6/2016 4:00,277,13.7,26.80001,35.67497,13.915,13.15001,11.6,12.79557,,
6/6/2016 5:00,278,13.75,26.80334,35.62165,13.53667,13.09999,11.6,12.7813,,
